SELECT 1x,INSERT 1x,DELETE 1x,SELECT 5x,INSERT 5x,DELETE 5x,SELECT 50x,INSERT 50x,DELETE 50x,SELECT 100x,INSERT 100x,DELETE 100x
5,62,35,26,219,108,281,1808,1675,528,2798,3122
7,45,44,26,232,125,286,1609,1716,542,3328,3368
7,46,38,29,124,198,284,1522,1564,539,3647,2785
5,44,46,26,211,149,277,1743,1780,528,4132,3799
6,20,47,27,174,193,274,1649,1887,550,3580,3497
4,45,19,37,190,150,276,1634,1477,531,4360,3988
7,41,19,28,194,152,275,1516,1672,532,4143,3668
5,20,21,27,194,109,270,1671,1933,537,3563,4250
5,18,42,28,210,189,267,1719,1671,539,4245,4055
6,43,45,28,191,125,275,1614,2233,520,4078,3840
5,20,23,27,170,169,283,1609,1995,537,3994,4165
5,47,21,25,221,130,269,1848,1713,537,4399,3587
7,41,45,26,132,263,269,1633,1392,538,4421,3910
4,24,46,28,149,216,280,1519,1584,522,3732,3647
5,65,45,28,147,190,268,1953,1544,545,3685,3586
5,48,18,26,109,216,269,1695,1483,553,3755,3737
7,40,40,24,169,238,273,1819,1607,565,3839,4183
6,42,40,25,260,111,274,1526,1612,544,3864,4398
6,42,22,27,235,166,261,1353,1420,558,4564,3733
4,21,24,27,111,283,261,1526,1887,550,4292,3735
6,24,40,25,131,241,270,1756,1610,557,4291,4145
5,20,67,29,168,216,252,1540,1865,530,4268,4553
5,44,62,27,211,127,269,1476,2149,548,4394,3969
5,25,66,26,236,211,265,1412,2100,532,3861,3906
6,20,41,28,260,133,273,1689,1845,528,4311,3647
5,49,41,27,193,216,279,1502,1929,528,3840,3883
4,47,41,27,234,131,260,1691,1867,533,4293,4013
6,43,41,26,232,133,267,1563,1805,519,4117,3877
5,20,20,27,300,173,259,1737,1692,530,4354,3931
6,41,25,27,216,280,285,1890,1781,527,3800,3579
5,46,45,25,171,282,265,1501,1759,539,4463,4012
5,44,44,28,169,104,261,1742,1582,533,4034,4143
5,46,23,26,219,107,260,1672,1717,528,3879,3819
8,45,24,25,189,166,263,1459,2278,530,3793,3756
5,48,42,29,236,195,265,1594,2064,529,4269,3840
5,24,66,29,257,196,266,1480,1780,524,4311,4274
5,25,46,27,190,300,266,1741,2165,534,3644,3926
6,45,45,27,276,218,269,1563,1885,528,3669,3692
6,45,64,26,261,151,260,1998,1652,535,3538,3988
6,22,35,27,232,110,264,2210,1970,533,4052,4156
11,18,23,38,217,107,265,2078,1910,529,3729,3772
4,21,21,24,215,168,266,2082,1502,543,4189,4355
6,41,23,24,212,148,271,1931,1887,541,3557,3757
