SELECT 1x,INSERT 1x,DELETE 1x,SELECT 5x,INSERT 5x,DELETE 5x,SELECT 50x,INSERT 50x,DELETE 50x,SELECT 100x,INSERT 100x,DELETE 100x
3,48,51,16,124,104,179,1672,1587,371,2644,3562
3,21,19,17,186,174,187,1565,1699,408,3638,4377
3,24,39,15,132,236,178,1536,2075,415,3199,4056
3,45,20,16,107,173,177,1521,2166,399,3624,4420
5,19,45,22,107,175,172,1630,2060,398,2940,4060
4,35,24,18,146,211,172,1525,1798,386,3257,4251
3,58,46,17,207,174,180,1654,1907,374,3051,3968
5,24,21,17,107,232,176,1523,1968,402,3278,3858
4,42,24,16,123,193,183,1396,1866,447,3212,3757
4,22,66,16,193,193,173,1435,1954,382,3105,4162
3,43,24,17,126,168,182,1629,1564,373,3279,3606
3,20,22,17,131,133,170,1463,1867,402,3348,3969
4,21,20,18,131,128,182,1605,2079,384,3473,4161
4,42,18,19,170,169,173,1862,1975,367,2851,4458
3,15,20,19,172,199,175,1583,1954,390,3456,4251
7,21,20,24,195,171,174,1669,2144,366,2811,3975
4,24,41,17,230,191,172,1478,2012,388,2895,4209
4,20,41,19,151,111,169,1605,1998,371,3048,4248
4,25,42,19,105,213,180,1590,1798,424,2877,4011
3,42,25,16,107,196,172,1479,2127,365,3327,3797
4,42,21,15,192,255,178,1415,1711,371,3368,4315
4,23,27,16,144,141,168,1288,1825,379,3050,4012
5,26,42,16,149,150,179,1714,1891,371,3174,3780
4,42,41,15,130,194,178,1352,1888,374,2937,4075
3,35,41,21,125,152,180,1458,2021,362,3362,3969
3,25,46,15,234,155,176,1694,1694,365,3711,4116
3,48,23,17,132,106,173,1715,2145,372,3346,3997
3,18,43,20,186,153,177,1545,1776,380,2873,4593
4,19,24,21,171,231,175,1524,2169,367,2786,4922
6,19,25,17,129,232,170,1845,1627,374,3068,6186
3,20,42,17,190,173,171,1825,1823,377,3023,6868
3,46,38,16,126,148,172,1782,2041,362,3066,6507
8,41,42,16,127,106,181,1796,1825,383,3261,6604
3,60,20,17,161,174,175,1624,1805,376,3132,6568
6,26,25,17,131,151,170,1289,2144,389,3393,6431
6,23,20,17,150,113,174,1478,2190,384,3198,6648
2,18,22,17,149,190,173,1677,1781,367,3259,6480
3,22,44,20,186,197,178,1649,2098,369,3240,6807
3,20,23,18,103,143,176,1454,2056,370,3340,6395
3,20,40,18,153,176,174,1395,2084,372,3066,6647
3,41,25,18,151,193,175,1783,2081,373,3262,6927
3,45,18,18,147,132,180,1392,1888,383,2939,6690
2,39,24,16,188,106,170,1523,1761,377,3041,6801
3,43,20,16,153,128,174,1443,1782,374,3386,6457
3,24,56,16,125,187,168,1500,1808,379,3148,6571
2,22,43,18,106,128,173,1476,2038,369,3045,6669
2,41,39,16,127,232,250,1543,2165,376,3032,6571
4,20,42,18,127,169,170,1351,1910,370,3667,6891
5,46,20,17,152,112,173,1439,1866,396,3371,6603
5,24,20,20,107,152,172,1523,2213,370,3365,6762
4,28,21,17,142,144,206,1480,2183,395,2733,3970
4,21,25,16,152,195,299,1478,2121,382,2552,3903
7,20,41,17,123,147,204,1373,2015,376,2873,3156
3,64,21,17,109,237,181,1409,1845,465,3215,3342
3,63,42,16,213,152,184,1586,1581,383,3131,3842
4,43,25,17,169,239,193,1586,2017,395,3458,3941
3,45,20,17,110,153,178,1822,2080,385,3409,4289
3,17,22,21,128,169,177,1507,2017,373,3129,4078
4,42,44,21,124,192,175,1544,2065,384,3136,3582
4,25,20,18,255,189,187,1889,1547,380,2814,4059
3,21,25,18,195,144,178,1654,1975,369,3003,3754
3,26,42,17,144,145,182,1783,1671,650,3255,3542
3,49,20,17,107,132,180,1480,1844,363,2937,3901
3,37,19,20,124,174,177,1637,1930,384,2984,3949
3,27,20,20,195,132,173,1588,2057,371,3048,4095
3,40,41,16,149,172,178,1370,1739,384,3005,4011
4,59,55,17,150,242,176,1795,1821,372,3152,4221
2,59,61,16,149,214,181,1521,1737,372,3175,3622
2,37,41,16,120,215,178,1716,1693,375,3257,4120
3,63,47,16,147,232,176,1306,2013,380,3471,3907
3,26,63,18,279,194,171,1547,2127,370,3389,3580
2,21,66,28,128,193,180,1370,2039,377,3218,4100
3,21,40,22,129,209,173,1459,2188,370,2940,3913
2,41,27,18,171,191,172,1565,1932,373,2752,4185
3,46,19,22,212,197,176,1525,1913,369,3256,3820
2,23,22,16,133,189,186,1697,1932,376,3108,3717
3,45,19,19,102,127,174,1914,1761,379,3386,3968
3,45,17,26,107,174,177,1593,1978,391,3518,3716
3,38,27,17,147,235,177,1935,1969,417,3149,4550
3,20,20,19,128,166,176,1605,1566,379,3434,4231
3,45,65,16,133,211,174,1628,1848,374,3282,4185
6,41,18,19,151,217,174,1391,1911,372,3261,3904
