SELECT 1x,INSERT 1x,DELETE 1x,SELECT 5x,INSERT 5x,DELETE 5x,SELECT 50x,INSERT 50x,DELETE 50x,SELECT 100x,INSERT 100x,DELETE 100x
1,8,5,3,32,21,28,207,202,61,599,410
1,3,3,3,17,18,48,183,205,64,392,376
1,4,4,3,17,17,32,211,187,62,383,411
1,3,3,4,18,18,40,220,182,75,385,488
1,3,3,3,18,17,35,191,190,63,378,433
1,3,3,3,18,17,36,189,181,62,443,379
1,3,3,4,18,16,28,189,188,67,376,428
1,3,3,4,17,18,31,193,184,67,380,419
1,3,3,3,18,17,43,188,174,62,382,369
1,4,4,3,18,18,31,187,188,67,367,424
1,3,3,4,20,16,33,188,227,66,461,367
1,4,4,3,18,18,33,179,189,69,378,386
1,3,3,3,19,18,31,234,183,70,380,394
1,3,4,3,19,19,36,208,187,63,379,385
1,3,3,5,18,17,29,193,187,68,398,418
1,3,3,3,18,17,37,188,183,64,426,371
1,3,3,4,19,18,32,189,182,68,382,380
1,3,3,4,17,17,33,190,197,64,376,376
1,3,4,5,18,17,33,186,200,64,380,385
1,3,3,5,18,18,32,190,199,66,404,443
1,3,4,4,17,19,33,181,214,68,430,374
1,3,3,4,18,18,31,191,191,63,386,382
1,6,4,4,18,18,31,230,191,63,387,366
1,3,3,8,18,18,30,187,188,63,377,424
1,3,4,5,19,16,30,192,183,69,393,379
1,4,3,3,18,18,31,185,186,68,407,372
1,3,3,4,17,18,27,186,187,69,386,370
1,4,3,3,18,18,32,187,186,71,370,365
1,3,3,3,19,21,30,183,189,65,379,444
2,4,4,5,19,18,32,195,205,63,425,386
1,3,3,3,17,17,38,184,203,61,388,385
1,4,4,6,17,21,35,208,183,60,392,373
1,3,3,6,18,21,38,209,189,68,385,377
1,3,3,7,18,21,39,184,197,57,374,457
1,5,3,3,17,20,38,183,193,57,417,381
1,3,5,4,19,27,33,186,187,66,394,382
1,3,3,3,17,24,31,193,188,73,392,383
2,3,4,4,19,23,30,190,186,72,405,375
1,3,4,4,17,21,32,190,185,57,394,450
1,3,4,3,18,25,32,187,212,61,440,378
1,3,3,3,18,23,31,183,201,57,382,389
1,3,4,3,17,18,32,237,194,64,384,379
1,3,3,4,17,21,32,197,189,69,380,388
1,3,4,3,19,17,32,192,182,67,399,441
1,3,4,4,18,17,29,193,182,65,418,385
1,3,4,3,18,18,30,188,182,103,376,378
1,6,3,3,20,18,31,193,179,66,382,374
1,3,3,6,19,18,34,187,181,62,381,397
1,3,4,6,19,18,31,189,185,60,393,409
1,3,3,3,18,18,29,193,227,80,428,384
1,13,3,8,26,20,33,222,185,73,387,456
0,3,8,7,18,19,31,192,183,81,377,472
0,3,3,8,19,18,30,190,185,72,393,419
1,6,4,9,18,18,31,191,231,56,431,394
0,3,3,7,21,18,29,185,190,58,387,422
1,4,3,6,17,18,29,184,187,65,391,413
0,3,4,6,17,18,31,190,175,63,380,373
1,3,3,4,19,17,30,187,214,60,414,435
0,3,3,4,16,17,32,183,213,61,406,386
1,3,3,4,18,19,30,217,249,63,397,379
0,4,4,4,17,18,29,204,191,64,385,383
1,3,3,4,21,18,33,185,191,59,378,372
0,3,4,4,18,19,30,187,199,59,422,426
0,3,3,4,19,20,29,191,188,60,404,384
0,3,3,3,19,17,28,229,197,62,385,412
1,3,3,14,20,20,30,219,197,60,386,379
0,3,3,10,25,20,34,207,193,58,383,392
1,4,4,11,21,20,37,241,235,59,434,406
0,3,3,10,23,18,36,195,202,62,388,377
0,3,3,11,18,18,41,251,189,63,381,377
0,3,3,8,25,16,53,192,198,59,380,377
0,4,6,8,25,18,38,190,191,61,365,422
1,3,4,10,24,17,35,194,207,57,455,381
0,4,4,24,18,17,29,192,195,61,387,368
1,3,3,6,19,18,30,193,186,59,383,378
0,3,4,10,18,20,29,186,184,57,382,372
1,3,3,14,17,17,32,196,200,60,373,422
1,3,4,7,18,17,28,187,218,61,448,378
0,3,3,7,17,18,29,195,185,55,380,377
1,3,3,4,18,18,31,229,184,57,385,379
1,4,3,5,16,18,32,192,193,58,376,378
1,3,3,6,17,18,29,195,189,60,377,434
0,3,3,4,17,19,28,188,191,60,439,383
1,3,3,3,22,18,29,198,244,72,378,385
0,3,3,4,19,19,33,204,186,73,412,377
1,3,4,6,18,18,31,203,183,57,373,369
1,3,3,3,19,16,34,194,219,55,377,428
0,3,7,4,17,21,42,188,206,56,427,378
0,3,3,3,17,18,34,217,187,58,382,380
1,4,6,3,16,18,36,228,192,60,381,377
1,3,3,3,20,18,33,201,189,62,377,378
0,4,3,3,20,18,72,217,189,62,381,440
0,3,3,8,19,17,67,198,189,61,453,375
0,3,3,3,18,17,32,195,182,57,376,381
1,3,3,3,19,17,55,203,185,59,383,376
0,3,3,5,18,17,53,189,195,58,369,375
0,3,4,4,18,18,35,194,230,59,373,419
0,3,3,2,17,17,35,205,191,58,424,380
1,4,5,4,19,16,31,254,196,60,376,379
0,3,3,4,18,18,28,198,184,59,371,376
1,12,5,5,25,19,40,196,223,65,446,459
1,4,5,3,17,19,32,226,232,60,424,494
1,3,3,3,17,22,31,221,234,61,380,424
1,3,3,3,18,20,35,256,224,60,515,377
1,3,3,3,18,27,40,229,194,62,388,382
0,3,6,3,19,22,37,332,214,62,418,397
1,3,3,3,19,24,40,196,197,59,445,399
0,4,3,4,19,23,39,237,185,60,386,384
1,3,6,3,20,21,32,209,187,61,388,380
1,3,3,3,23,29,35,218,206,59,378,375
0,3,3,4,26,17,31,210,209,59,382,445
1,3,3,3,23,22,31,252,189,62,415,396
0,3,5,4,21,18,32,199,185,72,380,382
1,3,6,5,19,18,31,191,185,58,381,384
0,3,5,4,20,17,29,194,192,57,377,377
1,4,3,4,20,17,27,201,230,62,390,430
0,3,6,4,20,20,30,201,186,58,422,383
1,3,4,4,27,20,32,226,183,58,384,373
1,3,4,3,24,19,33,192,186,76,392,377
1,3,3,6,19,20,32,191,187,73,377,372
1,3,3,6,22,18,32,190,194,70,413,428
0,3,3,4,19,19,31,210,183,67,399,377
0,3,6,4,17,17,32,190,210,60,379,381
0,3,4,5,17,18,35,184,188,59,381,378
1,3,3,6,18,18,30,189,219,73,377,374
1,4,3,8,17,18,28,185,184,58,424,433
0,3,3,10,19,19,29,217,185,57,390,379
0,3,3,7,20,19,29,204,189,57,384,373
0,3,3,6,19,21,32,193,182,70,385,397
1,3,3,7,18,19,29,188,185,72,372,377
0,3,3,7,18,17,32,228,188,58,438,422
1,4,3,4,17,19,30,188,188,62,389,385
0,3,3,2,18,18,31,186,186,58,382,383
0,3,4,3,19,18,27,184,201,72,376,374
0,3,3,5,19,18,32,184,204,67,371,412
1,3,4,4,24,18,32,188,181,59,427,508
0,3,3,3,20,18,30,221,181,59,376,378
1,3,4,2,22,18,30,194,186,65,382,388
0,4,3,4,21,19,32,194,186,67,374,367
0,3,3,4,30,18,31,194,181,58,367,425
0,3,4,2,25,17,32,187,181,67,446,388
1,3,3,3,20,18,33,193,188,66,375,376
0,7,4,5,17,18,35,191,183,64,375,372
0,3,3,4,24,16,37,212,207,56,385,377
0,3,3,3,17,33,34,183,199,62,373,427
1,3,3,4,24,33,34,240,179,59,449,380
1,3,4,5,19,26,33,185,181,58,386,367
2,3,3,3,19,24,33,188,184,57,389,374
3,3,3,3,19,19,34,187,180,60,373,377
1,4,3,4,19,33,33,186,182,57,425,440
1,8,3,4,30,19,39,263,182,59,414,420
0,5,3,4,19,17,39,228,187,58,505,456
0,3,3,5,19,16,32,248,244,63,381,413
0,3,4,4,17,16,40,215,194,79,372,408
1,3,3,5,22,17,36,224,296,72,431,475
0,4,4,4,18,17,50,208,194,69,390,379
1,3,3,4,17,17,31,206,185,59,383,413
0,3,3,6,18,20,30,225,220,59,385,378
1,3,4,4,18,17,30,208,192,60,370,413
0,4,3,7,20,21,28,192,186,59,426,387
1,3,3,8,18,22,32,213,183,60,381,403
0,3,3,7,17,18,31,198,203,59,382,384
2,4,3,10,18,20,80,195,217,60,377,380
1,3,3,3,19,34,79,189,188,58,372,414
1,3,3,5,17,24,36,217,186,60,428,382
2,3,3,3,17,20,55,197,187,62,384,386
0,4,3,2,20,22,46,194,186,58,391,384
0,3,4,3,20,21,32,193,184,59,384,377
1,4,3,4,18,17,32,191,186,57,393,434
0,3,3,7,21,20,30,190,188,61,428,388
0,3,4,6,24,20,32,191,175,65,391,381
1,3,3,4,29,21,30,188,215,73,393,375
1,3,4,3,28,24,30,188,213,87,379,375
0,3,4,3,23,19,30,186,187,65,381,442
1,3,5,4,19,19,29,226,186,63,415,382
0,4,3,4,21,17,28,193,188,60,383,382
0,3,5,3,21,19,30,188,196,77,381,377
0,3,4,3,21,19,29,189,213,71,380,370
1,3,3,3,20,20,31,191,184,70,384,426
0,3,4,3,18,19,34,192,182,65,405,372
1,3,3,3,18,23,37,192,220,65,382,370
0,3,3,3,20,19,34,198,221,67,371,370
1,5,3,11,20,19,43,187,180,65,379,372
0,3,3,13,18,19,29,206,194,71,399,414
1,4,3,25,18,20,37,211,194,70,408,377
0,3,9,10,19,20,34,194,192,71,385,382
1,3,6,8,18,43,57,197,193,73,371,375
0,4,8,17,19,56,37,192,187,62,371,368
1,3,11,6,19,47,36,189,186,65,399,429
0,3,14,3,18,28,41,185,212,59,392,386
0,3,6,3,19,18,27,199,206,57,374,386
0,3,6,3,21,41,48,186,185,60,407,365
0,3,7,3,18,31,31,187,331,62,372,370
0,4,7,3,17,33,42,215,189,60,420,427
0,3,5,3,18,40,36,192,197,56,378,384
0,4,5,6,18,35,37,190,181,58,384,382
1,3,7,3,18,24,34,193,190,64,383,375
0,4,8,5,17,31,38,195,184,58,374,367
1,5,4,6,18,18,59,197,193,57,430,413
0,4,5,4,20,19,99,187,216,61,379,382
